SndOrRecOrDrop  time  type  seq  size  ack
Send  1.381  数据包  301  104  0
Receive  1.381  普通应答包  0  0  301
Drop  1.384  数据包  325  104  0
Send  1.384  数据包  326  104  0
Send  1.384  数据包  324  104  0
Receive  1.384  普通应答包  0  0  326
Drop  1.384  数据包  327  104  0
Receive  1.384  普通应答包  0  0  324
Send  1.387  数据包  328  104  0
Receive  1.387  普通应答包  0  0  328
Send  1.387  数据包  305  104  0
Receive  1.387  普通应答包  0  0  305
Send  1.388  数据包  329  104  0
Receive  1.388  普通应答包  0  0  329
Send  1.388  数据包  306  104  0
Receive  1.388  普通应答包  0  0  306
Drop  1.392  数据包  330  104  0
Send  1.392  数据包  332  104  0
Drop  1.392  数据包  333  104  0
Receive  1.392  普通应答包  0  0  332
Send  1.392  数据包  331  104  0
Receive  1.392  普通应答包  0  0  331
Drop  1.394  数据包  334  104  0
Send  1.394  数据包  312  104  0
Receive  1.395  普通应答包  0  0  312
Drop  1.395  数据包  291  104  0
Send  1.395  数据包  335  104  0
Receive  1.395  普通应答包  0  0  335
Send  1.398  数据包  337  104  0
Send  1.398  数据包  336  104  0
Receive  1.398  普通应答包  0  0  337
Receive  1.398  普通应答包  0  0  336
Send  1.401  数据包  338  104  0
Receive  1.401  普通应答包  0  0  338
Send  1.401  数据包  339  104  0
Receive  1.401  普通应答包  0  0  339
