SndOrRecOrDrop  time  type  seq  size  ack
Receive  8.818  数据包  225  104  0
Send  8.818  普通应答包  0  0  225
Receive  8.818  数据包  242  104  0
Send  8.818  普通应答包  0  0  242
Receive  8.819  数据包  241  104  0
Send  8.819  普通应答包  0  0  241
Receive  8.822  数据包  245  104  0
Send  8.822  普通应答包  0  0  245
Receive  8.825  数据包  246  104  0
Send  8.825  普通应答包  0  0  246
Receive  8.828  数据包  247  104  0
Send  8.828  普通应答包  0  0  247
Receive  8.828  数据包  226  104  0
Send  8.828  普通应答包  0  0  226
Receive  8.831  数据包  248  104  0
Send  8.831  普通应答包  0  0  248
Receive  8.831  数据包  249  104  0
Send  8.831  普通应答包  0  0  249
Receive  8.831  数据包  231  104  0
Send  8.831  普通应答包  0  0  231
Receive  8.831  数据包  229  104  0
Send  8.831  普通应答包  0  0  229
Receive  8.834  数据包  252  104  0
Send  8.834  普通应答包  0  0  252
Receive  8.835  数据包  253  104  0
Send  8.835  普通应答包  0  0  253
Receive  8.836  数据包  209  104  0
Send  8.836  普通应答包  0  0  209
Receive  8.837  数据包  255  104  0
Send  8.837  普通应答包  0  0  255
Receive  8.837  数据包  254  104  0
Send  8.837  普通应答包  0  0  254
Receive  8.837  数据包  250  104  0
Send  8.837  普通应答包  0  0  250
Receive  8.839  数据包  257  104  0
Send  8.839  普通应答包  0  0  257
Receive  8.839  数据包  256  104  0
Send  8.84  普通应答包  0  0  256
Receive  8.84  数据包  259  104  0
Send  8.84  普通应答包  0  0  259
Receive  8.84  数据包  258  104  0
Send  8.84  普通应答包  0  0  258
Receive  8.842  数据包  261  104  0
Send  8.842  普通应答包  0  0  261
Receive  8.843  数据包  262  104  0
Send  8.843  普通应答包  0  0  262
Receive  8.843  数据包  263  104  0
Send  8.843  普通应答包  0  0  263
Receive  8.843  数据包  239  104  0
Send  8.844  普通应答包  0  0  239
Receive  8.847  数据包  265  104  0
Send  8.847  普通应答包  0  0  265
Receive  8.847  数据包  264  104  0
Send  8.847  普通应答包  0  0  264
Receive  8.847  数据包  266  104  0
Send  8.847  普通应答包  0  0  266
Receive  8.851  数据包  268  104  0
Send  8.851  普通应答包  0  0  268
Receive  8.851  数据包  270  104  0
Send  8.851  普通应答包  0  0  270
Receive  8.851  数据包  244  104  0
Send  8.851  普通应答包  0  0  244
Receive  8.852  数据包  269  104  0
Send  8.852  普通应答包  0  0  269
Receive  8.852  数据包  243  104  0
Send  8.852  普通应答包  0  0  243
Receive  8.854  数据包  271  104  0
Send  8.854  普通应答包  0  0  271
Receive  8.855  数据包  199  104  0
Send  8.855  普通应答包  0  0  199
Receive  8.855  数据包  275  104  0
Send  8.855  普通应答包  0  0  275
Receive  8.857  数据包  276  104  0
Send  8.857  普通应答包  0  0  276
Receive  8.857  数据包  278  104  0
Send  8.857  普通应答包  0  0  278
Receive  8.86  数据包  280  104  0
Send  8.861  普通应答包  0  0  280
Receive  8.861  数据包  279  104  0
Send  8.861  普通应答包  0  0  279
Receive  8.864  数据包  282  104  0
Send  8.864  普通应答包  0  0  282
Receive  8.865  数据包  251  104  0
Send  8.865  普通应答包  0  0  251
Receive  8.865  数据包  281  104  0
Send  8.865  普通应答包  0  0  281
Receive  8.87  数据包  283  104  0
Send  8.87  普通应答包  0  0  283
Receive  8.87  数据包  284  104  0
Send  8.871  普通应答包  0  0  284
Receive  8.871  数据包  235  104  0
Send  8.871  普通应答包  0  0  235
Receive  8.874  数据包  260  104  0
Send  8.874  普通应答包  0  0  260
Receive  8.874  数据包  287  104  0
Send  8.874  普通应答包  0  0  287
Receive  8.874  数据包  286  104  0
Send  8.874  普通应答包  0  0  286
Receive  8.877  数据包  267  104  0
Send  8.877  普通应答包  0  0  267
Receive  8.877  数据包  290  104  0
Send  8.878  普通应答包  0  0  290
Receive  8.878  数据包  289  104  0
Send  8.878  普通应答包  0  0  289
Receive  8.88  数据包  293  104  0
Send  8.88  普通应答包  0  0  293
Receive  8.88  数据包  294  104  0
Send  8.88  普通应答包  0  0  294
Receive  8.88  数据包  292  104  0
Send  8.881  普通应答包  0  0  292
Receive  8.889  数据包  272  104  0
Send  8.889  普通应答包  0  0  272
Receive  8.889  数据包  274  104  0
